,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
2010-04-30 to 2010-05-13,-1.0456283398103585,,,,,,,,,,,,,
2010-05-01 to 2010-05-14,-4.704344011631118,,,,,,,,,,,,,
2010-05-02 to 2010-05-15,-4.704344011631118,,,,,,,,,,,,,
2010-05-03 to 2010-05-16,-4.704344011631118,,,,,,,,,,,,,
2010-05-04 to 2010-05-17,-1.7241781382631691,,,,,,,,,,,,,
2010-05-05 to 2010-05-18,-1.4180007287385723,,,,,,,,,,,,,
2010-05-06 to 2010-05-19,0.8487269958545143,,,,,,,,,,,,,
2010-05-07 to 2010-05-20,0.8055724414517212,,,,,,,,,,,,,
2010-05-08 to 2010-05-21,-4.59464827737432,,,,,,,,,,,,,
2010-05-09 to 2010-05-22,-4.59464827737432,,,,,,,,,,,,,
2010-05-10 to 2010-05-23,-4.59464827737432,,,,,,,,,,,,,
2010-05-11 to 2010-05-24,-3.8047842400924945,,,,,,,,,,,,,
2010-05-12 to 2010-05-25,-6.436673408644122,,,,,,,,,,,,,
2010-05-13 to 2010-05-26,-5.515548144811403,,,,,,,,,,,,,
2010-05-14 to 2010-05-27,-0.1851384147783086,,,,,,,,,,,,,
2010-05-15 to 2010-05-28,1.046351866661743,,,,,,,,,,,,,
2010-05-16 to 2010-05-29,1.046351866661743,,,,,,,,,,,,,
2010-05-17 to 2010-05-30,1.046351866661743,,,,,,,,,,,,,
2010-05-18 to 2010-05-31,1.7910749020832117,,,,,,,,,,,,,
2010-05-19 to 2010-06-01,5.029387553752132,,,,,,,,,,,,,
2010-05-20 to 2010-06-02,11.01533090542933,,,,,,,,,,,,,
2010-05-21 to 2010-06-03,8.583677736244104,,,,,,,,,,,,,
2010-05-22 to 2010-06-04,3.7283662549065766,,,,,,,,,,,,,
2010-05-23 to 2010-06-05,3.7283662549065766,,,,,,,,,,,,,
2010-05-24 to 2010-06-06,3.7283662549065766,,,,,,,,,,,,,
2010-05-25 to 2010-06-07,2.3325899738967792,,,,,,,,,,,,,
2010-05-26 to 2010-06-08,2.13839624572313,,,,,,,,,,,,,
2010-05-27 to 2010-06-09,-4.00633877179147,,,,,,,,,,,,,
2010-05-28 to 2010-06-10,-2.479734045387375,,,,,,,,,,,,,
2010-05-29 to 2010-06-11,-2.8064191893314234,,,,,,,,,,,,,
2010-05-30 to 2010-06-12,-2.8064191893314234,,,,,,,,,,,,,
2010-05-31 to 2010-06-13,-2.8064191893314234,,,,,,,,,,,,,
2010-06-01 to 2010-06-14,-2.511196383340977,,,,,,,,,,,,,
2010-06-02 to 2010-06-15,-1.61401111401186,,,,,,,,,,,,,
2010-06-03 to 2010-06-16,1.569621938359661,,,,,,,,,,,,,
2010-06-04 to 2010-06-17,6.215832152932886,,,,,,,,,,,,,
2010-06-05 to 2010-06-18,9.217329520490681,,,,,,,,,,,,,
2010-06-06 to 2010-06-19,9.217329520490681,,,,,,,,,,,,,
2010-06-07 to 2010-06-20,9.217329520490681,,,,,,,,,,,,,
2010-06-08 to 2010-06-21,8.358415083149909,,,,,,,,,,,,,
2010-06-09 to 2010-06-22,12.602762437737644,,,,,,,,,,,,,
2010-06-10 to 2010-06-23,8.167277309530574,,,,,,,,,,,,,
2010-06-11 to 2010-06-24,6.110228140640638,,,,,,,,,,,,,
2010-06-12 to 2010-06-25,4.884348415342247,,,,,,,,,,,,,
2010-06-13 to 2010-06-26,4.884348415342247,,,,,,,,,,,,,
2010-06-14 to 2010-06-27,4.884348415342247,,,,,,,,,,,,,
2010-06-15 to 2010-06-28,3.3155428424686675,,,,,,,,,,,,,
2010-06-16 to 2010-06-29,-4.145904591541214,,,,,,,,,,,,,
2010-06-17 to 2010-06-30,-7.4815221813194,,,,,,,,,,,,,
2010-06-18 to 2010-07-01,-9.337003544008391,,,,,,,,,,,,,
