,0,1,2,3,4,5,6,7,8,9
2010-01-16 to 2010-01-29,6.510180950164795,6.40997314453125,6.299167156219482,5.986737251281738,6.14779806137085,6.234683513641357,6.293416976928711,6.033360958099365,5.814478874206543,
2010-01-17 to 2010-01-30,6.510180950164795,6.40997314453125,6.299167156219482,5.986737251281738,6.14779806137085,6.234683513641357,6.293416976928711,6.033360958099365,5.814478874206543,
2010-01-18 to 2010-01-31,6.510180950164795,6.40997314453125,6.299167156219482,5.986737251281738,6.14779806137085,6.234683513641357,6.293416976928711,6.033360958099365,5.814478874206543,
2010-01-19 to 2010-02-01,6.510180950164795,6.40997314453125,6.299167156219482,5.986737251281738,6.14779806137085,6.234683513641357,6.293416976928711,6.033360958099365,5.814478874206543,5.895309925079346
2010-01-20 to 2010-02-02,6.40997314453125,6.299167156219482,5.986737251281738,6.14779806137085,6.234683513641357,6.293416976928711,6.033360958099365,5.814478874206543,5.895309925079346,5.929519176483154
2010-01-21 to 2010-02-03,6.299167156219482,5.986737251281738,6.14779806137085,6.234683513641357,6.293416976928711,6.033360958099365,5.814478874206543,5.895309925079346,5.929519176483154,6.031543254852295
2010-01-22 to 2010-02-04,5.986737251281738,6.14779806137085,6.234683513641357,6.293416976928711,6.033360958099365,5.814478874206543,5.895309925079346,5.929519176483154,6.031543254852295,5.814173221588135
2010-01-23 to 2010-02-05,6.14779806137085,6.234683513641357,6.293416976928711,6.033360958099365,5.814478874206543,5.895309925079346,5.929519176483154,6.031543254852295,5.814173221588135,5.917409896850586
2010-01-24 to 2010-02-06,6.14779806137085,6.234683513641357,6.293416976928711,6.033360958099365,5.814478874206543,5.895309925079346,5.929519176483154,6.031543254852295,5.814173221588135,5.917409896850586
2010-01-25 to 2010-02-07,6.14779806137085,6.234683513641357,6.293416976928711,6.033360958099365,5.814478874206543,5.895309925079346,5.929519176483154,6.031543254852295,5.814173221588135,5.917409896850586
2010-01-26 to 2010-02-08,6.234683513641357,6.293416976928711,6.033360958099365,5.814478874206543,5.895309925079346,5.929519176483154,6.031543254852295,5.814173221588135,5.917409896850586,5.876842498779297
2010-01-27 to 2010-02-09,6.293416976928711,6.033360958099365,5.814478874206543,5.895309925079346,5.929519176483154,6.031543254852295,5.814173221588135,5.917409896850586,5.876842498779297,5.93950891494751
2010-01-28 to 2010-02-10,6.033360958099365,5.814478874206543,5.895309925079346,5.929519176483154,6.031543254852295,5.814173221588135,5.917409896850586,5.876842498779297,5.93950891494751,5.907116413116455
2010-01-29 to 2010-02-11,5.814478874206543,5.895309925079346,5.929519176483154,6.031543254852295,5.814173221588135,5.917409896850586,5.876842498779297,5.93950891494751,5.907116413116455,6.014590263366699
2010-01-30 to 2010-02-12,5.895309925079346,5.929519176483154,6.031543254852295,5.814173221588135,5.917409896850586,5.876842498779297,5.93950891494751,5.907116413116455,6.014590263366699,6.0663604736328125
2010-01-31 to 2010-02-13,5.895309925079346,5.929519176483154,6.031543254852295,5.814173221588135,5.917409896850586,5.876842498779297,5.93950891494751,5.907116413116455,6.014590263366699,6.0663604736328125
2010-02-01 to 2010-02-14,5.895309925079346,5.929519176483154,6.031543254852295,5.814173221588135,5.917409896850586,5.876842498779297,5.93950891494751,5.907116413116455,6.014590263366699,6.0663604736328125
2010-02-02 to 2010-02-15,5.929519176483154,6.031543254852295,5.814173221588135,5.917409896850586,5.876842498779297,5.93950891494751,5.907116413116455,6.014590263366699,6.0663604736328125,
2010-02-03 to 2010-02-16,6.031543254852295,5.814173221588135,5.917409896850586,5.876842498779297,5.93950891494751,5.907116413116455,6.014590263366699,6.0663604736328125,6.1577887535095215,
